activity_id,master_agent_id,activity_date,activity_start,activity_end,activity_type,activity_category,queue,case_type,productive_flag,approved_flag,source_system,duration_minutes
ACT00000001,A001,2025-01-01,2025-01-01 07:00:00,2025-01-01 07:16:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000002,A001,2025-01-01,2025-01-01 07:16:00,2025-01-01 07:38:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,22.0
ACT00000003,A001,2025-01-01,2025-01-01 07:38:00,2025-01-01 07:57:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00000004,A001,2025-01-01,2025-01-01 07:57:00,2025-01-01 08:13:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00000005,A001,2025-01-01,2025-01-01 08:13:00,2025-01-01 08:29:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000006,A001,2025-01-01,2025-01-01 08:29:00,2025-01-01 09:14:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,45.0
ACT00000007,A001,2025-01-01,2025-01-01 09:14:00,2025-01-01 10:04:00,Offline Work,Email Support,,,1,1,Queue Manager,50.0
ACT00000008,A001,2025-01-01,2025-01-01 10:07:00,2025-01-01 10:17:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,10.0
ACT00000009,A001,2025-01-01,2025-01-01 10:17:00,2025-01-01 10:25:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00000010,A001,2025-01-01,2025-01-01 10:25:00,2025-01-01 10:35:00,Offline Work,Break,,,0,1,Queue Manager,10.0
ACT00000011,A001,2025-01-01,2025-01-01 10:35:00,2025-01-01 10:51:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00000012,A001,2025-01-01,2025-01-01 10:51:00,2025-01-01 11:00:00,Offline Work,Email Support,,,1,1,Queue Manager,9.0
ACT00000013,A001,2025-01-01,2025-01-01 11:00:00,2025-01-01 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000014,A001,2025-01-01,2025-01-01 11:30:00,2025-01-01 11:54:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,24.0
ACT00000015,A001,2025-01-01,2025-01-01 11:55:00,2025-01-01 12:33:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,38.0
ACT00000016,A001,2025-01-01,2025-01-01 12:36:00,2025-01-01 12:44:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00000017,A001,2025-01-01,2025-01-01 12:44:00,2025-01-01 13:23:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,39.0
ACT00000018,A001,2025-01-01,2025-01-01 13:23:00,2025-01-01 14:04:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,41.0
ACT00000019,A001,2025-01-01,2025-01-01 14:04:00,2025-01-01 14:18:00,Offline Work,Break,,,0,1,Queue Manager,14.0
ACT00000020,A001,2025-01-01,2025-01-01 14:18:00,2025-01-01 14:34:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000021,A001,2025-01-01,2025-01-01 14:34:00,2025-01-01 14:51:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,17.0
ACT00000022,A001,2025-01-01,2025-01-01 14:51:00,2025-01-01 15:06:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00000023,A001,2025-01-01,2025-01-01 15:06:00,2025-01-01 15:16:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,10.0
ACT00000024,A001,2025-01-01,2025-01-01 15:18:00,2025-01-01 15:48:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,30.0
ACT00000025,A001,2025-01-01,2025-01-01 15:48:00,2025-01-01 16:00:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,12.0
ACT00000026,A001,2025-01-02,2025-01-02 07:00:00,2025-01-02 07:22:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,22.0
ACT00000027,A001,2025-01-02,2025-01-02 07:22:00,2025-01-02 07:34:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,12.0
ACT00000028,A001,2025-01-02,2025-01-02 07:37:00,2025-01-02 08:07:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,30.0
ACT00000029,A001,2025-01-02,2025-01-02 08:07:00,2025-01-02 08:27:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,20.0
ACT00000030,A001,2025-01-02,2025-01-02 08:27:00,2025-01-02 08:44:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,17.0
ACT00000031,A001,2025-01-02,2025-01-02 08:44:00,2025-01-02 08:51:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,7.0
ACT00000032,A001,2025-01-02,2025-01-02 08:54:00,2025-01-02 09:09:00,Offline Work,Break,,,0,1,Queue Manager,15.0
ACT00000033,A001,2025-01-02,2025-01-02 09:09:00,2025-01-02 09:50:00,Offline Work,Admin,,,1,1,SharePoint Tracker,41.0
ACT00000034,A001,2025-01-02,2025-01-02 09:50:00,2025-01-02 10:02:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00000035,A001,2025-01-02,2025-01-02 10:02:00,2025-01-02 10:20:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,18.0
ACT00000036,A001,2025-01-02,2025-01-02 10:20:00,2025-01-02 10:41:00,Offline Work,Unplanned Offline,,,0,0,Queue Manager,21.0
ACT00000037,A001,2025-01-02,2025-01-02 10:41:00,2025-01-02 10:56:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,15.0
