attendance_id,master_agent_id,date,scheduled_hours,worked_hours,scheduled_minutes,worked_minutes,absent_flag,late_minutes,early_leave_minutes,adherence_pct
AT00000001,A001,2025-01-01,9.0,8.85,540,531.0,0,0,0,0.983
AT00000002,A001,2025-01-02,9.0,8.83,540,530.0,0,0,0,0.981
AT00000003,A001,2025-01-03,9.0,8.8,540,528.0,0,0,0,0.978
AT00000004,A001,2025-01-06,9.0,8.8,540,528.0,0,0,0,0.978
AT00000005,A001,2025-01-07,9.0,8.67,540,520.0,0,15,0,0.963
AT00000006,A001,2025-01-08,9.0,8.78,540,527.0,0,0,0,0.976
AT00000007,A001,2025-01-09,9.0,8.82,540,529.0,0,0,0,0.98
AT00000008,A001,2025-01-10,9.0,8.88,540,533.0,0,0,0,0.987
AT00000009,A001,2025-01-13,9.0,8.85,540,531.0,0,0,0,0.983
AT00000010,A001,2025-01-14,9.0,8.82,540,529.0,0,0,0,0.98
AT00000011,A001,2025-01-15,9.0,8.83,540,530.0,0,0,0,0.981
AT00000012,A001,2025-01-16,9.0,8.77,540,526.0,0,0,0,0.974
AT00000013,A001,2025-01-17,9.0,8.97,540,538.0,0,0,0,0.996
AT00000014,A001,2025-01-20,9.0,8.83,540,530.0,0,5,0,0.981
AT00000015,A001,2025-01-21,9.0,8.8,540,528.0,0,0,0,0.978
AT00000016,A001,2025-01-22,9.0,8.97,540,538.0,0,0,0,0.996
AT00000017,A001,2025-01-23,9.0,8.9,540,534.0,0,0,0,0.989
AT00000018,A001,2025-01-24,9.0,8.9,540,534.0,0,0,0,0.989
AT00000019,A001,2025-01-25,9.0,8.85,540,531.0,0,0,0,0.983
AT00000020,A001,2025-01-26,9.0,8.85,540,531.0,0,0,0,0.983
AT00000021,A001,2025-01-27,9.0,8.95,540,537.0,0,0,0,0.994
AT00000022,A001,2025-01-28,9.0,8.82,540,529.0,0,5,0,0.98
AT00000023,A001,2025-01-29,9.0,8.77,540,526.0,0,0,0,0.974
AT00000024,A001,2025-01-31,9.0,8.85,540,531.0,0,0,0,0.983
AT00000025,A001,2025-02-03,9.0,8.9,540,534.0,0,0,0,0.989
AT00000026,A001,2025-02-04,9.0,8.4,540,504.0,0,0,30,0.933
AT00000027,A001,2025-02-05,9.0,8.92,540,535.0,0,0,0,0.991
AT00000028,A001,2025-02-06,9.0,8.9,540,534.0,0,0,0,0.989
AT00000029,A001,2025-02-07,9.0,8.7,540,522.0,0,10,0,0.967
AT00000030,A001,2025-02-09,9.0,8.9,540,534.0,0,0,0,0.989
AT00000031,A001,2025-02-10,9.0,8.98,540,539.0,0,0,0,0.998
AT00000032,A001,2025-02-11,9.0,8.85,540,531.0,0,0,0,0.983
AT00000033,A001,2025-02-12,9.0,8.82,540,529.0,0,0,5,0.98
AT00000034,A001,2025-02-13,9.0,8.82,540,529.0,0,5,0,0.98
AT00000035,A001,2025-02-14,9.0,8.78,540,527.0,0,0,0,0.976
AT00000036,A001,2025-02-17,9.0,8.57,540,514.0,0,0,15,0.952
AT00000037,A001,2025-02-18,9.0,8.92,540,535.0,0,0,0,0.991
AT00000038,A001,2025-02-19,9.0,8.93,540,536.0,0,0,0,0.993
AT00000039,A001,2025-02-20,9.0,8.83,540,530.0,0,0,0,0.981
AT00000040,A001,2025-02-21,9.0,8.95,540,537.0,0,0,0,0.994
AT00000041,A001,2025-02-24,9.0,8.93,540,536.0,0,0,0,0.993
AT00000042,A001,2025-02-25,9.0,8.97,540,538.0,0,0,0,0.996
AT00000043,A001,2025-02-26,9.0,0.0,540,0.0,1,0,540,0.0
AT00000044,A001,2025-02-27,9.0,8.78,540,527.0,0,0,0,0.976
