call_id,activity_id,master_agent_id,call_date,call_start,call_end,queue,talk_seconds,hold_seconds,after_call_work_seconds,answer_speed_seconds,sla_seconds,sla_met_flag,abandoned_flag,customer_id,aht_seconds
C00000001,ACT00000001,A001,2025-01-01,2025-01-01 07:00:00,2025-01-01 07:16:00,Claims Support,738,36,186,52,120,1,0,CU0008144,960
C00000002,ACT00000002,A001,2025-01-01,2025-01-01 07:16:00,2025-01-01 07:38:00,Technical Support,1170,0,150,34,180,1,0,CU0001643,1320
C00000003,ACT00000003,A001,2025-01-01,2025-01-01 07:38:00,2025-01-01 07:57:00,Technical Support,912,3,225,107,180,1,0,CU0001234,1140
C00000004,ACT00000004,A001,2025-01-01,2025-01-01 07:57:00,2025-01-01 08:13:00,Billing Support,687,42,231,139,90,0,0,CU0011027,960
C00000005,ACT00000005,A001,2025-01-01,2025-01-01 08:13:00,2025-01-01 08:29:00,Claims Support,798,45,117,32,120,1,0,CU0009604,960
C00000006,ACT00000008,A001,2025-01-01,2025-01-01 10:07:00,2025-01-01 10:17:00,Billing Support,382,42,176,39,90,1,0,CU0016946,600
C00000007,ACT00000009,A001,2025-01-01,2025-01-01 10:17:00,2025-01-01 10:25:00,Member Services,60,298,140,117,60,0,0,CU0010889,498
C00000008,ACT00000011,A001,2025-01-01,2025-01-01 10:35:00,2025-01-01 10:51:00,Billing Support,714,39,207,13,90,1,0,CU0010533,960
C00000009,ACT00000014,A001,2025-01-01,2025-01-01 11:30:00,2025-01-01 11:54:00,Technical Support,1153,41,246,58,180,1,0,CU0018495,1440
C00000010,ACT00000016,A001,2025-01-01,2025-01-01 12:36:00,2025-01-01 12:44:00,Member Services,197,109,174,6,60,1,0,CU0019494,480
C00000011,ACT00000020,A001,2025-01-01,2025-01-01 14:18:00,2025-01-01 14:34:00,Claims Support,781,15,164,122,120,0,0,CU0010509,960
C00000012,ACT00000021,A001,2025-01-01,2025-01-01 14:34:00,2025-01-01 14:51:00,Technical Support,848,7,165,6,180,1,0,CU0003082,1020
C00000013,ACT00000022,A001,2025-01-01,2025-01-01 14:51:00,2025-01-01 15:06:00,Claims Support,668,9,223,38,120,1,0,CU0007202,900
C00000014,ACT00000025,A001,2025-01-01,2025-01-01 15:48:00,2025-01-01 16:00:00,Claims Support,338,205,177,4,120,1,0,CU0010363,720
C00000015,ACT00000027,A001,2025-01-02,2025-01-02 07:22:00,2025-01-02 07:34:00,Claims Support,535,45,140,57,120,1,0,CU0001496,720
C00000016,ACT00000030,A001,2025-01-02,2025-01-02 08:27:00,2025-01-02 08:44:00,Claims Support,804,102,114,282,120,0,0,CU0001723,1020
C00000017,ACT00000031,A001,2025-01-02,2025-01-02 08:44:00,2025-01-02 08:51:00,Member Services,108,124,188,295,60,0,0,CU0010399,420
C00000018,ACT00000034,A001,2025-01-02,2025-01-02 09:50:00,2025-01-02 10:02:00,Member Services,617,16,87,12,60,1,0,CU0016839,720
C00000019,ACT00000035,A001,2025-01-02,2025-01-02 10:02:00,2025-01-02 10:20:00,Technical Support,902,62,116,12,180,1,0,CU0004215,1080
C00000020,ACT00000037,A001,2025-01-02,2025-01-02 10:41:00,2025-01-02 10:56:00,Billing Support,679,48,173,71,90,1,0,CU0007152,900
C00000021,ACT00000038,A001,2025-01-02,2025-01-02 10:56:00,2025-01-02 11:00:00,Technical Support,60,50,178,59,180,1,0,CU0014355,288
C00000022,ACT00000041,A001,2025-01-02,2025-01-02 12:29:00,2025-01-02 12:42:00,Technical Support,620,47,113,145,180,1,0,CU0016885,780
C00000023,ACT00000045,A001,2025-01-02,2025-01-02 13:26:00,2025-01-02 13:41:00,Claims Support,696,49,155,121,120,0,0,CU0006876,900
C00000024,ACT00000046,A001,2025-01-02,2025-01-02 13:43:00,2025-01-02 13:58:00,Technical Support,431,225,244,76,180,1,0,CU0014737,900
C00000025,ACT00000047,A001,2025-01-02,2025-01-02 13:58:00,2025-01-02 14:12:00,Billing Support,654,114,72,63,90,1,0,CU0013383,840
C00000026,ACT00000048,A001,2025-01-02,2025-01-02 14:12:00,2025-01-02 14:27:00,Member Services,727,15,158,20,60,1,0,CU0005598,900
C00000027,ACT00000051,A001,2025-01-02,2025-01-02 15:24:00,2025-01-02 15:35:00,Member Services,516,3,141,19,60,1,0,CU0006950,660
C00000028,ACT00000052,A001,2025-01-02,2025-01-02 15:35:00,2025-01-02 15:44:00,Member Services,301,11,228,121,60,0,0,CU0003402,540
C00000029,ACT00000054,A001,2025-01-03,2025-01-03 07:00:00,2025-01-03 07:19:00,Technical Support,825,45,270,128,180,1,0,CU0000962,1140
C00000030,ACT00000055,A001,2025-01-03,2025-01-03 07:19:00,2025-01-03 07:32:00,Billing Support,633,27,120,2,90,1,0,CU0007293,780
C00000031,ACT00000059,A001,2025-01-03,2025-01-03 08:42:00,2025-01-03 08:56:00,Member Services,592,4,244,67,60,0,0,CU0006180,840
C00000032,ACT00000061,A001,2025-01-03,2025-01-03 09:21:00,2025-01-03 09:40:00,Technical Support,851,58,231,66,180,1,0,CU0003464,1140
C00000033,ACT00000065,A001,2025-01-03,2025-01-03 11:42:00,2025-01-03 12:03:00,Claims Support,1063,28,169,34,120,1,0,CU0007118,1260
C00000034,ACT00000067,A001,2025-01-03,2025-01-03 12:57:00,2025-01-03 13:16:00,Technical Support,744,131,265,38,180,1,0,CU0014517,1140
C00000035,ACT00000068,A001,2025-01-03,2025-01-03 13:16:00,2025-01-03 13:26:00,Billing Support,453,3,144,79,90,1,0,CU0013083,600
C00000036,ACT00000069,A001,2025-01-03,2025-01-03 13:27:00,2025-01-03 13:41:00,Billing Support,595,60,185,35,90,1,0,CU0014442,840
C00000037,ACT00000072,A001,2025-01-03,2025-01-03 15:08:00,2025-01-03 15:20:00,Member Services,538,2,180,3,60,1,0,CU0005773,720
C00000038,ACT00000075,A001,2025-01-03,2025-01-03 15:45:00,2025-01-03 16:00:00,Technical Support,767,0,133,33,180,1,0,CU0001366,900
C00000039,ACT00000077,A001,2025-01-06,2025-01-06 07:11:00,2025-01-06 07:36:00,Technical Support,1357,53,90,6,180,1,0,CU0013222,1500
C00000040,ACT00000079,A001,2025-01-06,2025-01-06 08:08:00,2025-01-06 08:21:00,Technical Support,568,16,196,46,180,1,0,CU0001413,780
C00000041,ACT00000080,A001,2025-01-06,2025-01-06 08:22:00,2025-01-06 08:36:00,Technical Support,651,104,85,45,180,1,0,CU0017116,840
C00000042,ACT00000081,A001,2025-01-06,2025-01-06 08:36:00,2025-01-06 08:53:00,Technical Support,804,41,175,132,180,1,0,CU0004510,1020
C00000043,ACT00000082,A001,2025-01-06,2025-01-06 08:55:00,2025-01-06 09:07:00,Claims Support,617,24,79,6,120,1,0,CU0007121,720
C00000044,ACT00000083,A001,2025-01-06,2025-01-06 09:10:00,2025-01-06 09:20:00,Member Services,355,100,145,30,60,1,0,CU0004970,600
C00000045,ACT00000085,A001,2025-01-06,2025-01-06 09:42:00,2025-01-06 09:56:00,Claims Support,674,0,166,26,120,1,0,CU0019312,840
C00000046,ACT00000086,A001,2025-01-06,2025-01-06 09:58:00,2025-01-06 10:20:00,Technical Support,1045,56,219,53,180,1,0,CU0001223,1320
