case_id,activity_id,master_agent_id,case_date,case_start,case_end,case_type,case_complexity,case_turnaround_hours,case_sla_met_flag
CS00000001,ACT00000006,A001,2025-01-01,2025-01-01 08:29:00,2025-01-01 09:14:00,Documentation,High,42.6,0
CS00000002,ACT00000015,A001,2025-01-01,2025-01-01 11:55:00,2025-01-01 12:33:00,Documentation,Low,1.7,0
CS00000003,ACT00000017,A001,2025-01-01,2025-01-01 12:44:00,2025-01-01 13:23:00,Eligibility,High,21.2,1
CS00000004,ACT00000018,A001,2025-01-01,2025-01-01 13:23:00,2025-01-01 14:04:00,Follow Up,Medium,29.7,1
CS00000005,ACT00000044,A001,2025-01-02,2025-01-02 13:07:00,2025-01-02 13:26:00,Appeal,Medium,19.0,1
CS00000006,ACT00000049,A001,2025-01-02,2025-01-02 14:27:00,2025-01-02 14:42:00,Prior Authorization,Low,9.1,1
CS00000007,ACT00000050,A001,2025-01-02,2025-01-02 14:42:00,2025-01-02 15:22:00,Eligibility,Medium,11.6,0
CS00000008,ACT00000056,A001,2025-01-03,2025-01-03 07:32:00,2025-01-03 07:51:00,Follow Up,Low,10.4,1
CS00000009,ACT00000057,A001,2025-01-03,2025-01-03 07:51:00,2025-01-03 08:25:00,Prior Authorization,Low,7.8,1
CS00000010,ACT00000060,A001,2025-01-03,2025-01-03 08:56:00,2025-01-03 09:21:00,Appeal,Medium,11.5,1
CS00000011,ACT00000064,A001,2025-01-03,2025-01-03 11:30:00,2025-01-03 11:40:00,Eligibility,Medium,29.0,1
CS00000012,ACT00000084,A001,2025-01-06,2025-01-06 09:21:00,2025-01-06 09:42:00,Follow Up,Low,4.2,1
CS00000013,ACT00000093,A001,2025-01-06,2025-01-06 12:01:00,2025-01-06 12:34:00,Eligibility,High,57.8,0
CS00000014,ACT00000094,A001,2025-01-06,2025-01-06 12:34:00,2025-01-06 13:13:00,Documentation,Low,6.4,1
CS00000015,ACT00000095,A001,2025-01-06,2025-01-06 13:13:00,2025-01-06 13:22:00,Follow Up,High,18.8,1
CS00000016,ACT00000107,A001,2025-01-06,2025-01-06 15:53:00,2025-01-06 16:00:00,Follow Up,Medium,25.8,1
CS00000017,ACT00000114,A001,2025-01-07,2025-01-07 09:58:00,2025-01-07 10:23:00,Appeal,Medium,26.0,1
CS00000018,ACT00000122,A001,2025-01-07,2025-01-07 13:50:00,2025-01-07 14:34:00,Appeal,Medium,24.3,1
CS00000019,ACT00000124,A001,2025-01-07,2025-01-07 14:52:00,2025-01-07 15:12:00,Documentation,Low,6.3,1
CS00000020,ACT00000125,A001,2025-01-07,2025-01-07 15:14:00,2025-01-07 15:34:00,Eligibility,Medium,19.7,1
CS00000021,ACT00000128,A001,2025-01-08,2025-01-08 07:00:00,2025-01-08 07:38:00,Prior Authorization,High,10.5,1
CS00000022,ACT00000135,A001,2025-01-08,2025-01-08 09:18:00,2025-01-08 09:43:00,Prior Authorization,Low,7.7,1
CS00000023,ACT00000141,A001,2025-01-08,2025-01-08 11:30:00,2025-01-08 12:12:00,Prior Authorization,Low,14.3,0
CS00000024,ACT00000151,A001,2025-01-08,2025-01-08 15:15:00,2025-01-08 15:28:00,Follow Up,Low,8.0,1
CS00000025,ACT00000163,A001,2025-01-09,2025-01-09 08:49:00,2025-01-09 08:59:00,Eligibility,Medium,13.0,1
CS00000026,ACT00000164,A001,2025-01-09,2025-01-09 08:59:00,2025-01-09 09:10:00,Appeal,Medium,26.3,1
CS00000027,ACT00000167,A001,2025-01-09,2025-01-09 09:48:00,2025-01-09 10:22:00,Prior Authorization,Low,5.0,1
CS00000028,ACT00000169,A001,2025-01-09,2025-01-09 10:46:00,2025-01-09 11:00:00,Prior Authorization,Medium,17.8,1
CS00000029,ACT00000171,A001,2025-01-09,2025-01-09 11:30:00,2025-01-09 12:08:00,Appeal,Low,0.5,1
CS00000030,ACT00000176,A001,2025-01-09,2025-01-09 13:01:00,2025-01-09 13:35:00,Follow Up,Low,7.8,1
CS00000031,ACT00000178,A001,2025-01-09,2025-01-09 13:49:00,2025-01-09 14:15:00,Appeal,Low,9.1,1
CS00000032,ACT00000181,A001,2025-01-09,2025-01-09 14:39:00,2025-01-09 15:09:00,Prior Authorization,Medium,11.6,0
CS00000033,ACT00000184,A001,2025-01-10,2025-01-10 07:00:00,2025-01-10 07:30:00,Eligibility,Low,11.4,0
CS00000034,ACT00000186,A001,2025-01-10,2025-01-10 07:48:00,2025-01-10 08:18:00,Documentation,Low,0.5,1
CS00000035,ACT00000195,A001,2025-01-10,2025-01-10 10:23:00,2025-01-10 10:44:00,Follow Up,Low,0.5,1
CS00000036,ACT00000196,A001,2025-01-10,2025-01-10 10:46:00,2025-01-10 11:00:00,Documentation,Low,8.2,1
CS00000037,ACT00000198,A001,2025-01-10,2025-01-10 11:30:00,2025-01-10 11:41:00,Follow Up,High,37.6,0
CS00000038,ACT00000204,A001,2025-01-10,2025-01-10 13:04:00,2025-01-10 13:16:00,Appeal,High,33.8,1
CS00000039,ACT00000210,A001,2025-01-10,2025-01-10 14:25:00,2025-01-10 14:48:00,Eligibility,High,24.0,1
CS00000040,ACT00000224,A001,2025-01-13,2025-01-13 09:03:00,2025-01-13 09:31:00,Documentation,Low,0.5,1
CS00000041,ACT00000227,A001,2025-01-13,2025-01-13 10:25:00,2025-01-13 10:47:00,Eligibility,Medium,37.0,1
CS00000042,ACT00000243,A001,2025-01-13,2025-01-13 15:19:00,2025-01-13 15:35:00,Prior Authorization,High,14.6,0
CS00000043,ACT00000245,A001,2025-01-13,2025-01-13 15:43:00,2025-01-13 15:56:00,Prior Authorization,Low,3.8,1
CS00000044,ACT00000249,A001,2025-01-14,2025-01-14 07:35:00,2025-01-14 07:44:00,Eligibility,Low,7.6,1
CS00000045,ACT00000255,A001,2025-01-14,2025-01-14 10:21:00,2025-01-14 10:46:00,Prior Authorization,Low,11.1,1
CS00000046,ACT00000261,A001,2025-01-14,2025-01-14 12:36:00,2025-01-14 12:49:00,Eligibility,Medium,15.7,1
CS00000047,ACT00000266,A001,2025-01-14,2025-01-14 14:29:00,2025-01-14 15:07:00,Documentation,Low,8.2,1
CS00000048,ACT00000267,A001,2025-01-14,2025-01-14 15:09:00,2025-01-14 15:24:00,Documentation,Low,0.5,1
CS00000049,ACT00000269,A001,2025-01-14,2025-01-14 15:42:00,2025-01-14 16:00:00,Follow Up,Low,9.4,1
CS00000050,ACT00000282,A001,2025-01-15,2025-01-15 11:46:00,2025-01-15 12:12:00,Follow Up,Medium,32.3,1
CS00000051,ACT00000284,A001,2025-01-15,2025-01-15 12:37:00,2025-01-15 13:13:00,Documentation,Low,3.8,1
CS00000052,ACT00000285,A001,2025-01-15,2025-01-15 13:13:00,2025-01-15 13:25:00,Prior Authorization,Low,1.7,1
CS00000053,ACT00000286,A001,2025-01-15,2025-01-15 13:25:00,2025-01-15 13:58:00,Documentation,High,30.2,1
CS00000054,ACT00000305,A001,2025-01-16,2025-01-16 09:14:00,2025-01-16 09:33:00,Prior Authorization,Low,8.5,1
CS00000055,ACT00000306,A001,2025-01-16,2025-01-16 09:34:00,2025-01-16 09:58:00,Documentation,Low,9.1,1
CS00000056,ACT00000308,A001,2025-01-16,2025-01-16 10:05:00,2025-01-16 10:27:00,Documentation,Low,11.4,1
CS00000057,ACT00000315,A001,2025-01-16,2025-01-16 11:54:00,2025-01-16 12:28:00,Eligibility,High,11.6,1
CS00000058,ACT00000319,A001,2025-01-16,2025-01-16 13:31:00,2025-01-16 13:45:00,Follow Up,Low,4.4,1
CS00000059,ACT00000324,A001,2025-01-16,2025-01-16 14:53:00,2025-01-16 15:07:00,Eligibility,Medium,20.1,1
CS00000060,ACT00000328,A001,2025-01-16,2025-01-16 15:48:00,2025-01-16 16:00:00,Prior Authorization,Medium,20.8,0
CS00000061,ACT00000331,A001,2025-01-17,2025-01-17 07:22:00,2025-01-17 07:34:00,Documentation,Medium,14.9,1
CS00000062,ACT00000334,A001,2025-01-17,2025-01-17 07:53:00,2025-01-17 08:26:00,Documentation,Medium,13.5,1
CS00000063,ACT00000337,A001,2025-01-17,2025-01-17 08:47:00,2025-01-17 09:04:00,Prior Authorization,Low,7.6,1
CS00000064,ACT00000339,A001,2025-01-17,2025-01-17 09:26:00,2025-01-17 09:47:00,Appeal,Low,4.3,1
CS00000065,ACT00000342,A001,2025-01-17,2025-01-17 10:49:00,2025-01-17 11:00:00,Follow Up,Low,9.4,1
CS00000066,ACT00000346,A001,2025-01-17,2025-01-17 12:46:00,2025-01-17 13:01:00,Appeal,Medium,9.7,1
