offline_id,activity_id,master_agent_id,offline_date,offline_start,offline_end,offline_category,productive_flag,approved_flag,duration_minutes,source_system
O00000001,ACT00000007,A001,2025-01-01,2025-01-01 09:14:00,2025-01-01 10:04:00,Email Support,1,1,50.0,Queue Manager
O00000002,ACT00000010,A001,2025-01-01,2025-01-01 10:25:00,2025-01-01 10:35:00,Break,0,1,10.0,Queue Manager
O00000003,ACT00000012,A001,2025-01-01,2025-01-01 10:51:00,2025-01-01 11:00:00,Email Support,1,1,9.0,Queue Manager
O00000004,ACT00000013,A001,2025-01-01,2025-01-01 11:00:00,2025-01-01 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000005,ACT00000019,A001,2025-01-01,2025-01-01 14:04:00,2025-01-01 14:18:00,Break,0,1,14.0,Queue Manager
O00000006,ACT00000023,A001,2025-01-01,2025-01-01 15:06:00,2025-01-01 15:16:00,Waiting for Work,0,1,10.0,Queue Manager
O00000007,ACT00000024,A001,2025-01-01,2025-01-01 15:18:00,2025-01-01 15:48:00,Waiting for Work,0,1,30.0,Queue Manager
O00000008,ACT00000026,A001,2025-01-02,2025-01-02 07:00:00,2025-01-02 07:22:00,Waiting for Work,0,1,22.0,Queue Manager
O00000009,ACT00000028,A001,2025-01-02,2025-01-02 07:37:00,2025-01-02 08:07:00,Waiting for Work,0,1,30.0,Queue Manager
O00000010,ACT00000029,A001,2025-01-02,2025-01-02 08:07:00,2025-01-02 08:27:00,Waiting for Work,0,1,20.0,Queue Manager
O00000011,ACT00000032,A001,2025-01-02,2025-01-02 08:54:00,2025-01-02 09:09:00,Break,0,1,15.0,Queue Manager
O00000012,ACT00000033,A001,2025-01-02,2025-01-02 09:09:00,2025-01-02 09:50:00,Admin,1,1,41.0,SharePoint Tracker
O00000013,ACT00000036,A001,2025-01-02,2025-01-02 10:20:00,2025-01-02 10:41:00,Unplanned Offline,0,0,21.0,Queue Manager
O00000014,ACT00000039,A001,2025-01-02,2025-01-02 11:00:00,2025-01-02 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000015,ACT00000040,A001,2025-01-02,2025-01-02 11:30:00,2025-01-02 12:29:00,Team Meeting,1,1,59.0,SharePoint Tracker
O00000016,ACT00000042,A001,2025-01-02,2025-01-02 12:42:00,2025-01-02 12:57:00,Waiting for Work,0,1,15.0,Queue Manager
