qa_id,call_id,master_agent_id,review_date,qa_score,compliance_score,empathy_score,documentation_score,qa_pass_flag
Q00000001,C00005736,A006,2025-02-25,85.4,80.3,86.1,81.7,1
Q00000002,C00041052,A038,2025-02-01,80.4,76.9,87.2,70.9,1
Q00000003,C00040812,A038,2025-01-16,78.8,82.7,73.5,82.1,0
Q00000004,C00057118,A053,2025-02-18,88.8,88.7,94.7,84.8,1
Q00000005,C00043838,A040,2025-02-26,82.7,85.9,89.2,77.0,1
Q00000006,C00013180,A013,2025-02-01,91.9,95.2,98.6,83.8,1
Q00000007,C00019026,A019,2025-01-30,90.4,88.6,86.9,89.7,1
Q00000008,C00079730,A074,2025-01-10,97.2,93.4,96.3,91.9,1
Q00000009,C00046830,A043,2025-03-01,75.7,83.2,68.3,70.0,0
Q00000010,C00067859,A063,2025-03-22,84.6,91.0,93.1,72.0,1
Q00000011,C00044547,A041,2025-02-09,83.8,80.6,80.0,100.0,1
Q00000012,C00049494,A046,2025-02-07,92.8,87.5,88.6,93.9,1
Q00000013,C00025470,A024,2025-03-05,95.9,94.0,97.6,95.7,1
Q00000014,C00010352,A010,2025-02-24,99.5,99.2,100.0,98.9,1
Q00000015,C00016555,A016,2025-03-16,80.4,79.5,84.2,75.9,1
Q00000016,C00032586,A031,2025-01-17,89.9,93.6,96.5,83.4,1
Q00000017,C00047447,A044,2025-01-17,93.2,87.6,86.1,91.7,1
Q00000018,C00046921,A043,2025-02-27,69.7,57.2,75.1,70.5,0
Q00000019,C00005454,A006,2025-01-31,79.3,69.8,86.1,74.1,0
Q00000020,C00080141,A074,2025-02-05,92.7,98.7,88.6,83.8,1
Q00000021,C00063163,A059,2025-02-22,92.8,94.5,85.5,93.5,1
Q00000022,C00038490,A036,2025-01-12,88.1,85.1,87.8,100.0,1
Q00000023,C00045360,A042,2025-01-27,90.3,84.4,84.9,90.3,1
Q00000024,C00024339,A023,2025-03-02,89.8,92.9,87.9,92.9,1
Q00000025,C00032777,A031,2025-02-01,82.0,84.9,84.0,78.6,1
Q00000026,C00031168,A029,2025-03-02,88.5,87.1,91.0,75.4,1
Q00000027,C00060944,A057,2025-02-18,95.8,94.2,100.0,84.2,1
Q00000028,C00002624,A003,2025-02-19,91.6,100.0,86.8,92.6,1
Q00000029,C00072250,A067,2025-03-18,81.1,84.7,74.5,75.6,1
Q00000030,C00044256,A041,2025-01-09,80.5,83.9,70.9,89.0,1
Q00000031,C00077821,A072,2025-02-17,87.2,80.8,89.8,74.3,1
Q00000032,C00038223,A035,2025-03-25,81.1,85.8,75.6,66.7,1
Q00000033,C00016801,A017,2025-01-03,76.8,80.7,69.9,81.8,0
Q00000034,C00022271,A022,2025-01-11,85.7,83.6,87.5,82.7,1
Q00000035,C00045580,A042,2025-02-21,93.1,94.7,97.5,86.6,1
Q00000036,C00061150,A057,2025-03-11,86.4,79.8,84.4,87.9,1
Q00000037,C00030726,A029,2025-01-20,89.6,98.7,88.0,90.7,1
Q00000038,C00006248,A007,2025-01-12,89.5,93.6,93.2,85.0,1
Q00000039,C00073217,A068,2025-03-01,86.6,82.6,83.4,90.8,1
Q00000040,C00063212,A059,2025-03-01,89.5,96.3,86.3,93.9,1
Q00000041,C00024953,A024,2025-01-13,94.6,87.7,97.5,97.1,1
Q00000042,C00019152,A019,2025-02-07,85.7,89.9,81.2,91.1,1
Q00000043,C00034302,A032,2025-02-10,82.7,79.9,87.6,74.7,1
Q00000044,C00004654,A005,2025-02-18,91.0,92.7,80.6,94.4,1
Q00000045,C00055723,A052,2025-01-18,97.4,94.4,99.8,100.0,1
Q00000046,C00078585,A073,2025-01-11,86.2,90.0,78.0,79.5,1
Q00000047,C00076225,A071,2025-01-21,90.5,91.8,97.0,85.7,1
Q00000048,C00031888,A030,2025-02-08,73.9,77.4,84.7,77.1,0
Q00000049,C00059030,A055,2025-02-21,83.1,81.0,75.0,81.8,1
Q00000050,C00079713,A074,2025-01-08,82.7,90.4,87.5,88.4,1
Q00000051,C00043064,A039,2025-03-24,72.4,67.9,66.2,69.7,0
Q00000052,C00071329,A066,2025-03-16,85.6,79.8,93.6,83.0,1
Q00000053,C00042956,A039,2025-03-13,100.0,100.0,100.0,100.0,1
Q00000054,C00000675,A001,2025-03-08,89.9,86.9,88.6,89.8,1
Q00000055,C00033177,A031,2025-02-24,92.2,88.0,93.3,80.1,1
Q00000056,C00069448,A064,2025-04-08,88.6,87.9,92.3,86.5,1
Q00000057,C00055350,A051,2025-03-14,92.9,92.7,96.0,91.3,1
Q00000058,C00052944,A049,2025-03-14,81.7,80.8,73.0,86.8,1
Q00000059,C00022544,A022,2025-01-23,85.6,88.4,72.7,85.8,1
Q00000060,C00079201,A073,2025-03-01,96.7,85.2,96.6,90.6,1
