schedule_id,master_agent_id,schedule_date,scheduled_start,scheduled_end,scheduled_minutes,planned_lunch_start,planned_lunch_end,planned_lunch_minutes
S0000001,A001,2025-01-01,2025-01-01 07:00:00,2025-01-01 16:00:00,540,2025-01-01 11:00:00,2025-01-01 11:30:00,30
S0000002,A001,2025-01-02,2025-01-02 07:00:00,2025-01-02 16:00:00,540,2025-01-02 11:00:00,2025-01-02 11:30:00,30
S0000003,A001,2025-01-03,2025-01-03 07:00:00,2025-01-03 16:00:00,540,2025-01-03 11:00:00,2025-01-03 11:30:00,30
S0000004,A001,2025-01-06,2025-01-06 07:00:00,2025-01-06 16:00:00,540,2025-01-06 11:00:00,2025-01-06 11:30:00,30
S0000005,A001,2025-01-07,2025-01-07 07:00:00,2025-01-07 16:00:00,540,2025-01-07 11:00:00,2025-01-07 11:30:00,30
S0000006,A001,2025-01-08,2025-01-08 07:00:00,2025-01-08 16:00:00,540,2025-01-08 11:00:00,2025-01-08 11:30:00,30
S0000007,A001,2025-01-09,2025-01-09 07:00:00,2025-01-09 16:00:00,540,2025-01-09 11:00:00,2025-01-09 11:30:00,30
S0000008,A001,2025-01-10,2025-01-10 07:00:00,2025-01-10 16:00:00,540,2025-01-10 11:00:00,2025-01-10 11:30:00,30
S0000009,A001,2025-01-13,2025-01-13 07:00:00,2025-01-13 16:00:00,540,2025-01-13 11:00:00,2025-01-13 11:30:00,30
S0000010,A001,2025-01-14,2025-01-14 07:00:00,2025-01-14 16:00:00,540,2025-01-14 11:00:00,2025-01-14 11:30:00,30
S0000011,A001,2025-01-15,2025-01-15 07:00:00,2025-01-15 16:00:00,540,2025-01-15 11:00:00,2025-01-15 11:30:00,30
S0000012,A001,2025-01-16,2025-01-16 07:00:00,2025-01-16 16:00:00,540,2025-01-16 11:00:00,2025-01-16 11:30:00,30
S0000013,A001,2025-01-17,2025-01-17 07:00:00,2025-01-17 16:00:00,540,2025-01-17 11:00:00,2025-01-17 11:30:00,30
S0000014,A001,2025-01-20,2025-01-20 07:00:00,2025-01-20 16:00:00,540,2025-01-20 11:00:00,2025-01-20 11:30:00,30
S0000015,A001,2025-01-21,2025-01-21 07:00:00,2025-01-21 16:00:00,540,2025-01-21 11:00:00,2025-01-21 11:30:00,30
S0000016,A001,2025-01-22,2025-01-22 07:00:00,2025-01-22 16:00:00,540,2025-01-22 11:00:00,2025-01-22 11:30:00,30
S0000017,A001,2025-01-23,2025-01-23 07:00:00,2025-01-23 16:00:00,540,2025-01-23 11:00:00,2025-01-23 11:30:00,30
S0000018,A001,2025-01-24,2025-01-24 07:00:00,2025-01-24 16:00:00,540,2025-01-24 11:00:00,2025-01-24 11:30:00,30
S0000019,A001,2025-01-25,2025-01-25 07:00:00,2025-01-25 16:00:00,540,2025-01-25 11:00:00,2025-01-25 11:30:00,30
S0000020,A001,2025-01-26,2025-01-26 07:00:00,2025-01-26 16:00:00,540,2025-01-26 11:00:00,2025-01-26 11:30:00,30
S0000021,A001,2025-01-27,2025-01-27 07:00:00,2025-01-27 16:00:00,540,2025-01-27 11:00:00,2025-01-27 11:30:00,30
S0000022,A001,2025-01-28,2025-01-28 07:00:00,2025-01-28 16:00:00,540,2025-01-28 11:00:00,2025-01-28 11:30:00,30
S0000023,A001,2025-01-29,2025-01-29 07:00:00,2025-01-29 16:00:00,540,2025-01-29 11:00:00,2025-01-29 11:30:00,30
S0000024,A001,2025-01-31,2025-01-31 07:00:00,2025-01-31 16:00:00,540,2025-01-31 11:00:00,2025-01-31 11:30:00,30
S0000025,A001,2025-02-03,2025-02-03 07:00:00,2025-02-03 16:00:00,540,2025-02-03 11:00:00,2025-02-03 11:30:00,30
S0000026,A001,2025-02-04,2025-02-04 07:00:00,2025-02-04 16:00:00,540,2025-02-04 11:00:00,2025-02-04 11:30:00,30
S0000027,A001,2025-02-05,2025-02-05 07:00:00,2025-02-05 16:00:00,540,2025-02-05 11:00:00,2025-02-05 11:30:00,30
S0000028,A001,2025-02-06,2025-02-06 07:00:00,2025-02-06 16:00:00,540,2025-02-06 11:00:00,2025-02-06 11:30:00,30
S0000029,A001,2025-02-07,2025-02-07 07:00:00,2025-02-07 16:00:00,540,2025-02-07 11:00:00,2025-02-07 11:30:00,30
S0000030,A001,2025-02-09,2025-02-09 07:00:00,2025-02-09 16:00:00,540,2025-02-09 11:00:00,2025-02-09 11:30:00,30
S0000031,A001,2025-02-10,2025-02-10 07:00:00,2025-02-10 16:00:00,540,2025-02-10 11:00:00,2025-02-10 11:30:00,30
S0000032,A001,2025-02-11,2025-02-11 07:00:00,2025-02-11 16:00:00,540,2025-02-11 11:00:00,2025-02-11 11:30:00,30
S0000033,A001,2025-02-12,2025-02-12 07:00:00,2025-02-12 16:00:00,540,2025-02-12 11:00:00,2025-02-12 11:30:00,30
S0000034,A001,2025-02-13,2025-02-13 07:00:00,2025-02-13 16:00:00,540,2025-02-13 11:00:00,2025-02-13 11:30:00,30
S0000035,A001,2025-02-14,2025-02-14 07:00:00,2025-02-14 16:00:00,540,2025-02-14 11:00:00,2025-02-14 11:30:00,30
S0000036,A001,2025-02-17,2025-02-17 07:00:00,2025-02-17 16:00:00,540,2025-02-17 11:00:00,2025-02-17 11:30:00,30
S0000037,A001,2025-02-18,2025-02-18 07:00:00,2025-02-18 16:00:00,540,2025-02-18 11:00:00,2025-02-18 11:30:00,30
S0000038,A001,2025-02-19,2025-02-19 07:00:00,2025-02-19 16:00:00,540,2025-02-19 11:00:00,2025-02-19 11:30:00,30
S0000039,A001,2025-02-20,2025-02-20 07:00:00,2025-02-20 16:00:00,540,2025-02-20 11:00:00,2025-02-20 11:30:00,30
S0000040,A001,2025-02-21,2025-02-21 07:00:00,2025-02-21 16:00:00,540,2025-02-21 11:00:00,2025-02-21 11:30:00,30
S0000041,A001,2025-02-24,2025-02-24 07:00:00,2025-02-24 16:00:00,540,2025-02-24 11:00:00,2025-02-24 11:30:00,30
S0000042,A001,2025-02-25,2025-02-25 07:00:00,2025-02-25 16:00:00,540,2025-02-25 11:00:00,2025-02-25 11:30:00,30
